feature,importance
outage_type_planned,0.1423942852550752
is_planned,0.12633068400802874
outage_type_unplanned,0.11633257161358955
wind_speed,0.06461088835375824
precipitation_mm,0.06354008599621486
affected_customer_count,0.05883029133993003
cause_Hava muhalefeti,0.050149527678675414
day,0.04279190506231571
cause_Kablo arızası,0.040984007566162654
hour,0.04084762997712737
cause_Trafo arızası,0.032170964645623405
month,0.02804339792254198
dayofweek,0.022410485309637254
year,0.010749647977101668
source_OSOS,0.0057675410360116365
cause_Bakım çalışması,0.005741813853148235
source_Manual,0.005428546746084184
network_element_type_Kesici,0.005060234235722105
city_Sivas,0.004655705567740647
source_Mobile,0.004646721018338096
city_Kayseri,0.004402005760060016
network_element_type_Hücre,0.00439872711874364
source_CRM,0.004114270085473862
source_OMS,0.003937394489822963
city_Konya,0.0039091274996607755
city_Ankara,0.0038361300588044787
source_SCADA,0.003801972298777119
city_Eskişehir,0.0036956264262000753
network_element_type_Trafo,0.0034356462203952312
network_element_type_Ayırıcı,0.0033802650326036814
network_element_type_Fider,0.003317886873663318
network_element_type_Kablo,0.0032772308022548592
district_Divriği,0.0032592246242678525
district_Keçiören,0.0027294834666236035
is_weekend,0.0025091199262479856
district_Seydişehir,0.0025044330484868173
district_Melikgazi,0.0024610318231491368
district_Ilgın,0.0022667258799128056
network_element_type_Dağıtım Merkezi,0.0022632938872912244
district_Sincan,0.0022046292330040215
network_element_type_Direk,0.0021931778953884168
district_Odunpazarı,0.002071008392887284
district_Cihanbeyli,0.0019950215568623254
district_Yenimahalle,0.001974748433522077
district_Kangal,0.001968456444800817
district_Tepebaşı,0.0018528696702159396
district_Meram,0.0017913954023930075
district_Kocasinan,0.0017424356145804849
district_Çankaya,0.0017041199258333568
district_Develi,0.0016747516158518402
district_Bünyan,0.001645811146142754
district_İncesu,0.001608540297254575
district_Pınarbaşı,0.0014863244183736621
district_Etimesgut,0.0014535245171101783
district_Talas,0.001446499373670484
district_Gürün,0.0014444592636790206
district_Beylikova,0.00143631237030735
district_Alpu,0.0014362597628477822
district_Altındağ,0.0013707403525108856
district_Mahmudiye,0.0013217585087786404
district_Selçuklu,0.0012865444938037788
district_Polatlı,0.0012851723679234248
cause_Ekipman arızası,0.001255351357143582
district_Gemerek,0.001244222911516043
district_Beyşehir,0.0012288900367867193
district_Şarkışla,0.0012169251710138136
district_Sivrihisar,0.0012002856264140681
district_Hafik,0.0011968429975671136
district_Zara,0.0011792297475858012
district_Suşehri,0.0011526770861502006
district_Yeşilhisar,0.0011308311796503646
district_Akşehir,0.0009697346657079444
district_Tomarza,0.0009367198626653906
district_Merkez,0.0009257715217428343
district_Karatay,0.0008977831576125345
cause_Aşırı yüklenme,0.0008768599026163768
district_Mamak,0.0008401188005650103
district_Yıldızeli,0.0008394000381323979
district_Mihalıççık,0.0008123019917958538
district_Kulu,0.0007996782494836971
district_Gölbaşı,0.000791380854934141
district_Yahyalı,0.0007893164131516251
district_Çifteler,0.0007863125167658076
district_Ereğli,0.0007599658573519363
cause_Bilinmeyen,0.0007427230469926945
district_Seyitgazi,0.0007333379382191558
cause_Kuş / hayvan teması,0.0007325738250545952
district_Pursaklar,0.0006730343459343609
cause_Ağaç teması,0.0006577021847096995
district_İnönü,0.0006440905256879604
cause_Üçüncü şahıs müdahalesi,0.0004423102419116201
storm_flag,0.0001091140058321601
is_force_majeure,5.342239629599129e-05
